id,context,instruction,display_tokens,answer_words,choices,difficulty,type,full_response
1,The new restaurant downtown looks busy already.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,know|if|it|is|taking|reservations|today,reservations|if|know|taking|it|today|is|really,medium,indirect_question_if,Do you know if it is taking reservations today?
2,That café near campus is always full at lunch.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,know|if|it|is|taking|walk-ins|today,it|today|know|taking|if|walk-ins|is|really,medium,indirect_question_if,Do you know if it is taking walk-ins today?
3,The bookstore website says the author event may sell out.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|offering|extra|seats|tonight,if|really|tonight|extra|is|it|seats|offering,medium,indirect_question_if,Do you know if it is offering extra seats tonight?
4,The clinic opened a new appointment page this week.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|accepting|new|patients|now,patients|new|is|now|if|accepting|really|it,medium,indirect_question_if,Do you know if it is accepting new patients now?
5,That photography workshop became popular overnight.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|adding|another|session|soon,if|another|soon|really|adding|session|it|is,medium,indirect_question_if,Do you know if it is adding another session soon?
6,The student center gym reopened this morning.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|allowing|guest|passes|today,it|is|really|if|guest|allowing|passes|today,medium,indirect_question_if,Do you know if it is allowing guest passes today?
7,The pottery studio looks packed this afternoon.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,know|if|it|is|taking|drop-ins|today,taking|drop-ins|if|it|today|really|know|is,medium,indirect_question_if,Do you know if it is taking drop-ins today?
8,The language lab introduced a tutoring schedule.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|posting|available|times|online,if|times|is|posting|it|available|really|online|today,medium,indirect_question_if,Do you know if it is posting available times online?
9,The shuttle service changed its route this week.,Make an appropriate sentence.,Do you know if ____ ____ ____ ____ ____ ____ ____?,it|is|stopping|near|the|library|now,library|near|really|now|the|it|is|stopping,medium,indirect_question_if,Do you know if it is stopping near the library now?
10,The local theater announced discounted tickets.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|selling|student|tickets|today,is|selling|tickets|if|today|student|really|it,medium,indirect_question_if,Do you know if it is selling student tickets today?
11,The neighborhood pool is open again.,Make an appropriate sentence.,Do you know if ____ ____ ____ ____ ____ ____ ____?,it|is|offering|swim|lessons|this|month,offering|really|lessons|is|month|this|it|swim,medium,indirect_question_if,Do you know if it is offering swim lessons this month?
12,The career center launched a new booking portal.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|showing|interview|slots|yet,it|yet|really|is|showing|today|interview|if|slots,medium,indirect_question_if,Do you know if it is showing interview slots yet?
13,The hotel restaurant added a brunch menu.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|serving|weekend|specials|already,weekend|it|already|is|if|specials|serving|today|really,medium,indirect_question_if,Do you know if it is serving weekend specials already?
14,The bike shop reopened after the renovation.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,know|if|it|is|renting|helmets|again,helmets|it|if|know|again|really|is|renting,medium,indirect_question_if,Do you know if it is renting helmets again?
15,The museum posted a notice about late entry.,Make an appropriate sentence.,Do you know if ____ ____ ____ ____ ____ ____ ____?,it|is|allowing|visitors|after|six|today,it|visitors|today|after|really|is|allowing|six,medium,indirect_question_if,Do you know if it is allowing visitors after six today?
16,The bakery released a holiday preorder form.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|taking|cake|orders|now,it|really|orders|now|if|cake|taking|is,medium,indirect_question_if,Do you know if it is taking cake orders now?
17,The research lab opened a sign-up page.,Make an appropriate sentence.,Do you know if ____ ____ ____ ____ ____ ____ ____?,it|is|accepting|new|assistants|this|term,new|really|assistants|is|it|term|accepting|this,medium,indirect_question_if,Do you know if it is accepting new assistants this term?
18,The public library changed its event system.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|using|digital|tickets|now,now|today|is|tickets|really|digital|using|if|it,medium,indirect_question_if,Do you know if it is using digital tickets now?
19,The campus clinic is short-staffed this week.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|rescheduling|morning|appointments|today,really|if|is|today|it|rescheduling|appointments|morning,medium,indirect_question_if,Do you know if it is rescheduling morning appointments today?
20,The conference desk moved to another hall.,Make an appropriate sentence.,Do you know ____ ____ ____ ____ ____ ____ ____?,if|it|is|printing|name|badges|there,really|there|printing|today|it|if|name|is|badges,medium,indirect_question_if,Do you know if it is printing name badges there?
21,That lecture on climate policy was harder than I expected.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|professor|meant|either,really|meant|not|professor|today|get|either|what|the,medium,did_not_get,I did not get what the professor meant either.
22,The advisor's email about graduation was confusing.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,what|really|not|either|today|get|meant|did|she,medium,did_not_get,I did not get what she meant either.
23,The safety announcement before the lab was unclear.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|speaker|meant|either,not|what|meant|really|either|speaker|the|get,medium,did_not_get,I did not get what the speaker meant either.
24,That comment during the workshop sounded vague.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|presenter|meant|either,get|really|not|today|meant|either|presenter|what|the,medium,did_not_get,I did not get what the presenter meant either.
25,The manager's explanation of the policy was too fast.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|he|meant|either,did|get|really|not|meant|either|what|today|he,medium,did_not_get,I did not get what he meant either.
26,The discussion about the budget was full of jargon.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|they|meant|either,really|they|get|either|what|today|meant|did|not,medium,did_not_get,I did not get what they meant either.
27,The judge's feedback after the contest confused me.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,either|what|get|she|did|meant|really|not,medium,did_not_get,I did not get what she meant either.
28,That message in the group chat was not very clear.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|he|meant|either,he|get|today|did|meant|not|really|either|what,medium,did_not_get,I did not get what he meant either.
29,The museum guide used a lot of technical words.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|guide|meant|either,guide|either|meant|not|the|get|today|what|really,medium,did_not_get,I did not get what the guide meant either.
30,The engineer's answer in the Q&A was complicated.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,today|not|meant|she|did|really|what|get|either,medium,did_not_get,I did not get what she meant either.
31,That line in the article sounded ambiguous.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|writer|meant|either,get|the|writer|meant|not|what|either|really|today,medium,did_not_get,I did not get what the writer meant either.
32,The coach's instructions before the match were rushed.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|he|meant|either,meant|did|not|get|either|what|he|really,medium,did_not_get,I did not get what he meant either.
33,The training video skipped an important step.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|narrator|meant|either,narrator|either|get|meant|the|what|really|not|today,medium,did_not_get,I did not get what the narrator meant either.
34,The professor's joke during class went over my head.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,really|today|not|she|get|meant|either|what|did,medium,did_not_get,I did not get what she meant either.
35,The announcement about the room change was strange.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|they|meant|either,they|either|not|did|get|what|meant|really,medium,did_not_get,I did not get what they meant either.
36,The curator's description of the painting was abstract.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|curator|meant|either,meant|really|get|the|either|not|curator|today|what,medium,did_not_get,I did not get what the curator meant either.
37,The editor's note on my essay was too short.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,either|get|did|today|meant|she|really|not|what,medium,did_not_get,I did not get what she meant either.
38,The host's introduction before the panel was vague.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|he|meant|either,not|really|did|get|he|today|meant|either|what,medium,did_not_get,I did not get what he meant either.
