id,category,context,prefix,blanks_before,middle_hint,blanks_after,suffix,answer,choices
1,indirect_question,That jazz concert last Friday was really amazing.,Do you know,5,,0,reservations today?,if the restaurant is taking,the|just|if|taking|restaurant|quite|is
2,indirect_question,What did the teacher mean during class?,Could you tell me,5,,0,schedule later today?,why the team changed its,its|just|why|the|team|changed|actually
3,indirect_question,The apartment complex is adding new security cameras this month.,Have you heard,5,,0,on Friday?,when the seminar will begin,really|will|seminar|begin|when|even|the
4,indirect_question,That jazz concert last Friday was really amazing.,Could you tell me,5,,0,more smoothly?,how the problem can be,problem|still|be|do|how|the|can
5,indirect_question,The travel fair had several booths about study-abroad programs.,Could you tell me,4,,0,volunteer events?,which organizations are planning,always|they|are|planning|which|organizations
6,indirect_question,We should check out that new restaurant this afternoon.,I wonder,5,,0,its hours this week?,whether the museum will extend,already|the|whether|will|always|museum|extend
7,indirect_question,I saw a few complaints about problems with the payment page.,Did you find out,5,,0,so confusing?,why the website has been,rather|website|why|the|actually|been|has
8,indirect_question,The apartment complex is adding new security cameras this month.,Would you tell me,5,,0,for each session?,how the students were grouped,quite|grouped|the|students|how|were|know
9,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Would you tell me,5,,0,effect next month?,when the new policy takes,the|takes|new|already|quite|policy|when
10,indirect_question,The apartment complex is adding new security cameras this month.,Can you explain,4,,0,the job fair?,which companies are attending,companies|quite|are|attending|maybe|which
11,indirect_question,A lot of students seem nervous about the final presentation.,I wonder,5,,0,reservations today?,if the restaurant is taking,is|if|maybe|taking|you|restaurant|the
12,indirect_question,The website redesign has caused a few unexpected issues.,Could you tell me,5,,0,schedule later today?,why the team changed its,changed|its|team|why|do|it|the
13,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Could you tell me,5,,0,on Friday?,when the seminar will begin,the|will|when|seminar|always|begin|did
14,indirect_question,The public speaking seminar had many different sessions.,I wonder,5,,0,more smoothly?,how the problem can be,rather|the|be|how|problem|maybe|can
15,indirect_question,What did the teacher mean during class?,Could you tell me,4,,0,volunteer events?,which organizations are planning,organizations|which|always|are|rather|planning
16,indirect_question,I heard the museum will extend its hours during the festival.,Could you tell me,5,,0,its hours this week?,whether the museum will extend,the|you|will|maybe|extend|museum|whether
17,indirect_question,The job fair will include several companies from overseas.,I wonder,5,,0,so confusing?,why the website has been,has|out|website|always|been|the|why
18,indirect_question,My next project will be a documentary film about an influential leader.,I wonder,5,,0,for each session?,how the students were grouped,how|grouped|already|the|students|never|were
